"greco","ser","year","V","PV","GTOT","NT","mqd"
"K","K11",2002,46.1460141197849,1.50582756431239,10.9723441011275,600.724290435465,0.479089932674055
"K","K12",1987,162.101076511869,2.81093081612157,22.0270574767715,357.881561650176,0.879454777831665
"K","K12",2002,152.508307221945,2.93289721257463,21.5441574083706,486.928189041265,0.745653790865562
"K","K13",1987,56.3744895889604,1.87616161527272,12.4651338831843,377.135394756375,0.644473046788365
"K","K13",2002,72.3948970909606,1.92104772688698,15.6716448487024,504.735977673007,0.624640431052472
"A","A11",2007,155.448780276833,6.53495321986634,23.2011282191487,715.202607562702,0.638476532951271
"A","A12",2007,190.198061428679,8.05144926278342,26.9736354499135,902.000563346511,0.613015237095139
"A","A13",2007,179.00053907413,6.89999515228527,22.2810173448011,621.621728823216,0.671134163783949
"A","A21",2007,171.254752009237,6.79223493141569,24.9284254510131,666.101075300276,0.685776010405985
"A","A22",2007,168.502956440665,6.30645074941674,22.6426234198034,695.055179808177,0.639821252633428
"A","A30",2007,119.404127225325,5.4431717491604,18.0074594907054,716.111510110222,0.562135261050285
"B","B10",2007,185.729584466386,6.52999449080081,22.6232798367877,574.5013895807,0.703456381944799
"B","B21",2007,193.102714954055,7.70972517729896,21.9569138803174,468.116552644353,0.767738963807771
"B","B22",2007,172.475157162437,8.79066243248977,21.2081200651151,591.605058589648,0.671181657501792
"B","B23",2007,222.899084707423,8.68749239680828,24.1816444238655,556.364455501866,0.739040364728542
"B","B31",2007,182.906748561713,6.86554238003334,22.4297616038686,629.907720015413,0.668927107126314
"B","B32",2007,177.082714378069,6.58136960844778,22.283490940609,684.674415404399,0.639520538300137
"B","B33",2007,203.25962754646,6.79266885451991,23.5656439008501,671.392405545575,0.664135010677488
"B","B41",2007,180.23512311773,6.16731890028412,21.4844352802868,588.317500147117,0.677424687707154
"B","B42",2007,172.973422093896,6.36153206167806,20.7216784561741,656.305116718858,0.629889693219633
"B","B43",2007,109.107918229893,6.87392318532926,15.3488203203451,601.733806538744,0.566161361813285
"B","B44",2007,134.760613978644,5.04899055899564,19.3925770293296,749.21431356596,0.570321391949949
"B","B51",2007,192.224252115673,5.80032346154532,21.832992881662,627.541572754488,0.661211377191738
"B","B52",2007,189.35207309757,6.17188385805445,22.7158701595987,746.040879387315,0.618569223500761
"B","B53",2007,198.095167302263,6.19502481744943,22.726259254877,717.975298953805,0.630687405990708
"B","B61",2007,178.852573096825,8.19475299988175,23.4371408432929,730.119556088183,0.6351265333535
"B","B62",2007,184.799985860386,6.5464353820583,24.2186923341651,815.893485045439,0.610750096729478
"B","B70",2007,154.63381735901,5.38540495805908,20.5452667328046,669.237154836389,0.621113261268275
"B","B81",2007,120.4299369052,5.35938452969622,18.395739484966,707.492189911424,0.571613835869254
"B","B82",2007,153.556977344947,5.67850326198494,22.3758212135444,787.727469187418,0.597456690090845
"B","B91",2007,190.155113861409,4.96715578658628,23.0250404771193,694.539976006761,0.645440940446432
"B","B92",2007,195.503414528024,5.63045180230419,23.6830726632435,725.676249332107,0.640401736837208
"C","C11",2007,199.390608943963,8.71729420568789,23.3263657462852,650.421309992338,0.671322327413593
"C","C12",2007,229.80786150334,8.83163133403544,24.3763494944912,644.816013217403,0.689241404787458
